"REF_DATE","GEO","DGUID","Business characteristics","Use of artificial intelligence (AI) by businesses or organizations in producing goods or delivering services over the last 12 months","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082146","1.1.1","12.2","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, machine learning","Percent","239","units","0","v1671082157","1.1.2","18.6","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, natural language processing","Percent","239","units","0","v1671082159","1.1.3","23.1","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, virtual agents or chat bots","Percent","239","units","0","v1671082160","1.1.4","24.8","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, speech or voice recognition using AI","Percent","239","units","0","v1671082161","1.1.5","20.0","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, recommendation systems using AI","Percent","239","units","0","v1671082162","1.1.6","14.0","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, large language models","Percent","239","units","0","v1671082163","1.1.7","19.1","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, text analytics using AI","Percent","239","units","0","v1671082164","1.1.8","35.7","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, data analytics using AI","Percent","239","units","0","v1671082165","1.1.9","26.4","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, neural network","Percent","239","units","0","v1671082147","1.1.10","2.5","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, augmented reality","Percent","239","units","0","v1671082148","1.1.11","3.2","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, decision making systems based on AI","Percent","239","units","0","v1671082149","1.1.12","5.7","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, deep learning","Percent","239","units","0","v1671082150","1.1.13","6.6","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, image or pattern recognition","Percent","239","units","0","v1671082151","1.1.14","11.4","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, machine or computer vision","Percent","239","units","0","v1671082152","1.1.15","3.1","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, robotics process automation","Percent","239","units","0","v1671082153","1.1.16","3.8","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, biometrics","Percent","239","units","0","v1671082154","1.1.17","3.2","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, marketing automation using AI","Percent","239","units","0","v1671082155","1.1.18","23.1","B","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Type of AI application used, other type","Percent","239","units","0","v1671082156","1.1.19","6.1","A","","","1"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","No, business or organization did not use AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082158","1.1.20","87.8","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082366","1.2.1","1.8","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, machine learning","Percent","239","units","0","v1671082377","1.2.2","","F","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, natural language processing","Percent","239","units","0","v1671082379","1.2.3","1.7","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, virtual agents or chat bots","Percent","239","units","0","v1671082380","1.2.4","1.9","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, speech or voice recognition using AI","Percent","239","units","0","v1671082381","1.2.5","","F","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, recommendation systems using AI","Percent","239","units","0","v1671082382","1.2.6","11.5","E","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, large language models","Percent","239","units","0","v1671082383","1.2.7","7.8","C","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, text analytics using AI","Percent","239","units","0","v1671082384","1.2.8","","F","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, data analytics using AI","Percent","239","units","0","v1671082385","1.2.9","17.5","E","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, neural network","Percent","239","units","0","v1671082367","1.2.10","1.7","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, augmented reality","Percent","239","units","0","v1671082368","1.2.11","0.0","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, decision making systems based on AI","Percent","239","units","0","v1671082369","1.2.12","3.2","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, deep learning","Percent","239","units","0","v1671082370","1.2.13","5.4","B","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, image or pattern recognition","Percent","239","units","0","v1671082371","1.2.14","2.6","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, machine or computer vision","Percent","239","units","0","v1671082372","1.2.15","13.2","E","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, robotics process automation","Percent","239","units","0","v1671082373","1.2.16","13.1","E","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, biometrics","Percent","239","units","0","v1671082374","1.2.17","0.0","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, marketing automation using AI","Percent","239","units","0","v1671082375","1.2.18","6.1","C","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Type of AI application used, other type","Percent","239","units","0","v1671082376","1.2.19","3.6","B","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","No, business or organization did not use AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082378","1.2.20","98.2","A","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082586","1.3.1","5.6","A","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Type of AI application used, machine learning","Percent","239","units","0","v1671082597","1.3.2","12.7","D","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Type of AI application used, natural language processing","Percent","239","units","0","v1671082599","1.3.3","5.6","B","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Type of AI application used, virtual agents or chat bots","Percent","239","units","0","v1671082600","1.3.4","3.7","B","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Type of AI application used, speech or voice recognition using AI","Percent","239","units","0","v1671082601","1.3.5","","F","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Type of AI application used, recommendation systems using AI","Percent","239","units","0","v1671082602","1.3.6","16.0","E","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Type of AI application used, large language models","Percent","239","units","0","v1671082603","1.3.7","2.9","A","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Type of AI application used, text analytics using AI","Percent","239","units","0","v1671082604","1.3.8","3.9","B","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Type of AI application used, data analytics using AI","Percent","239","units","0","v1671082605","1.3.9","","F","","","1"
