"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Use of artificial intelligence by businesses and organizations in producing goods or delivering services over the last 12 months, second quarter of 2025","33101004",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310100401",1;2;3,"CURRENT - a cube available to the public and that is current","Occasional","2025-01-01","2025-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Business characteristics",,""
"3","Use of artificial intelligence (AI) by businesses or organizations in producing goods or delivering services over the last 12 months",8,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","3","1","",,
"1","Nova Scotia","[12]","4","1","",,
"1","New Brunswick","[13]","5","1","",,
"1","Quebec","[24]","6","1","",,
"1","Ontario","[35]","7","1","",,
"1","Manitoba","[46]","8","1","",,
"1","Saskatchewan","[47]","9","1","",,
"1","Alberta","[48]","10","1","",,
"1","British Columbia","[59]","11","1","",,
"1","Yukon","[60]","12","1","",,
"1","Northwest Territories","[61]","13","1","",,
"1","Nunavut","[62]","14","1","",,
"1","Canada","[11124]","1","","",,
"2","Agriculture, forestry, fishing and hunting","[11]","2","1","",,
"2","Mining, quarrying, and oil and gas extraction","[21]","3","1","",,
"2","Construction","[23]","4","1","",,
"2","Manufacturing","[31-33]","5","1","",,
"2","Wholesale trade","[41]","6","1","",,
"2","Retail trade","[44-45]","7","1","",,
"2","Transportation and warehousing","[48-49]","8","1","",,
"2","Information and cultural industries","[51]","9","1","",,
"2","Finance and insurance","[52]","10","1","",,
"2","Real estate and rental and leasing","[53]","11","1","",,
"2","Professional, scientific and technical services","[54]","12","1","",,
"2","Administrative and support, waste management and remediation services","[56]","13","1","",,
"2","Health care and social assistance","[62]","14","1","",,
"2","Arts, entertainment and recreation","[71]","15","1","",,
"2","Accommodation and food services","[72]","16","1","",,
"2","Other services (except public administration)","[81]","17","1","",,
"2","1 to 4 employees","","19","18","",,
"2","5 to 19 employees","","20","18","",,
"2","20 to 99 employees","","21","18","",,
"2","100 or more employees","","22","18","",,
"2","Government agencies","","24","23","",,
"2","Private sector businesses","","25","23","",,
"2","Non-profit organizations","","26","23","",,
"2","Non-profit organizations serving households or individuals","","27","26","",,
"2","Non-profit organizations serving businesses","","28","26","",,
"2","Age of business or organization, 2 years or less","","30","29","",,
"2","Age of business or organization, 3 to 10 years old","","31","29","",,
"2","Age of business or organization, 11 to 20 years old","","32","29","",,
"2","Age of business or organization, more than 20 years old","","33","29","",,
"2","Urban","","35","34","",,
"2","Rural","","36","34","",,
"2","Majority ownership, woman","","38","37","",,
"2","Majority ownership, First Nations, Métis or Inuit","","39","37","",,
"2","Majority ownership, immigrant to Canada","","40","37","",,
"2","Majority ownership, person with a disability","","41","37","",,
"2","Majority ownership, LGBTQ2 people","","42","37","",6,
"2","Majority ownership, visible minority","","43","37","",,
"2","Ownership by visible minority, Korean","","53","44","",,
"2","Ownership by visible minority, Japanese","","54","44","",,
"2","Ownership by visible minority, other visible minority","","55","44","",,
