NOC_Title_Standardized,Avg_AI_Exposure,Industry,Province,Total_Jobs,Entry_Level_Jobs,Entry_Level_Pct,Median_Wage_PreAI,Median_Wage_PostAI,Wage_Decline_Pct,Exposure_Score,Wage_Decline_Score,Entry_Risk_Score,Vulnerability_Index
"Food Counter Attendants, Kitchen Helpers And Related Support Occupations",25.688000000000002,Information and cultural industries,NAT,172,167,97.09302325581395,0,16.468830409356727,0.0,100.0,0.0,97.09302325581395,64.27325581395348
"Program Leaders And Instructors In Recreation, Sport And Fitness",25.688000000000002,Information and cultural industries,NAT,172,104,60.46511627906976,0,18.792108843537417,0.0,100.0,0.0,60.46511627906976,55.116279069767444
"Other Labourers In Processing, Manufacturing And Utilities",25.688000000000002,Information and cultural industries,NAT,172,79,45.93023255813954,0,19.523426573426573,0.0,100.0,0.0,45.93023255813954,51.48255813953489
Security Guards And Related Security Service Occupations,25.688000000000002,Information and cultural industries,NAT,172,63,36.627906976744185,0,19.94345679012346,0.0,100.0,0.0,36.627906976744185,49.156976744186046
"Student Monitors, Crossing Guards And Related Occupations",25.688000000000002,Information and cultural industries,NAT,172,32,18.6046511627907,0,20.93604938271605,0.0,100.0,0.0,18.6046511627907,44.651162790697676
"Janitors, Caretakers And Heavy-Duty Cleaners",25.688000000000002,Information and cultural industries,NAT,172,24,13.953488372093023,0,21.12041176470588,0.0,100.0,0.0,13.953488372093023,43.48837209302326
Other Practitioners Of Natural Healing,25.688000000000002,Information and cultural industries,NAT,172,18,10.465116279069768,0,18.55497596153846,0.0,100.0,0.0,10.465116279069768,42.616279069767444
Customer Services Representatives - Financial Institutions,25.688000000000002,Information and cultural industries,NAT,172,18,10.465116279069768,0,21.656037735849058,0.0,100.0,0.0,10.465116279069768,42.616279069767444
Traditional Chinese Medicine Practitioners And Acupuncturists,25.688000000000002,Information and cultural industries,NAT,172,14,8.13953488372093,0,18.102110042735042,0.0,100.0,0.0,8.13953488372093,42.03488372093023
"Support Occupations In Accommodation, Travel And Facilities Set-Up Services",25.688000000000002,Information and cultural industries,NAT,172,7,4.069767441860465,0,21.658,0.0,100.0,0.0,4.069767441860465,41.01744186046512
"Bus Drivers, Subway Operators And Other Transit Operators",25.688000000000002,Information and cultural industries,NAT,172,7,4.069767441860465,0,23.685061728395063,0.0,100.0,0.0,4.069767441860465,41.01744186046512
"Weavers, Knitters And Other Fabric Making Occupations",25.688000000000002,Information and cultural industries,NAT,172,7,4.069767441860465,0,19.327272727272728,0.0,100.0,0.0,4.069767441860465,41.01744186046512
"Furniture And Fixture Assemblers, Finishers, Refinishers And Inspectors",25.688000000000002,Information and cultural industries,NAT,172,5,2.9069767441860463,0,21.60890243902439,0.0,100.0,0.0,2.9069767441860463,40.72674418604651
Social And Community Service Workers,25.688000000000002,Information and cultural industries,NAT,172,3,1.744186046511628,0,24.749176470588232,0.0,100.0,0.0,1.744186046511628,40.43604651162791
Instructors Of Persons With Disabilities,25.688000000000002,Information and cultural industries,NAT,172,1,0.5813953488372093,0,27.902470588235296,0.0,100.0,0.0,0.5813953488372093,40.145348837209305
Data Entry Clerks,25.688000000000002,Information and cultural industries,NAT,172,1,0.5813953488372093,0,23.56300699300699,0.0,100.0,0.0,0.5813953488372093,40.145348837209305
"Supervisors, Furniture And Fixtures Manufacturing",25.688000000000002,Information and cultural industries,NAT,172,0,0.0,0,27.506470588235295,0.0,100.0,0.0,0.0,40.0
"Securities Agents, Investment Dealers And Brokers",25.688000000000002,Information and cultural industries,NAT,172,0,0.0,0,41.65282608695652,0.0,100.0,0.0,0.0,40.0
"Heating, Refrigeration And Air Conditioning Mechanics",25.688000000000002,Information and cultural industries,NAT,172,0,0.0,0,35.753185840707964,0.0,100.0,0.0,0.0,40.0
"Banking, Credit And Other Investment Managers",25.688000000000002,Information and cultural industries,NAT,172,0,0.0,0,52.33036496350365,0.0,100.0,0.0,0.0,40.0
